id;name;category;kcal_100g;protein_100g;fat_100g;carb_100g;portion_g;price;shop;tags;composition;url;photo
roll-s-tuntsom-i-krevetkoy-s-sousom-spaysi-106906.html;"Ролл с тунцом и креветкой с соусом ""Спайси""";Готовая еда;210.0;;;;;488.0;vkusvill;;"Состав                                                                                                                                                       Ролл (крупа рисовая отварная (вода питьевая, крупа рисовая шлифованная, заправка для риса (уксус рисовый (рисовый уксус 59% (вода питьевая, крупа рисовая), регулятор кислотности - кислота уксусная ледяная), сахар, масло рисовое рафинированное (из рисовых отрубей), пюре лайма мороженное (мякоть лайма), соль пищевая)), филе-ломтики тунца слабосолёного (филе тунец желтоперого (произведено из мороженого сырья, продукция аквакультуры), соль пищевая, сахар), креветка белоногая очищенная без головы и хвоста вареная (произведено из мороженого сырья, продукция аквакультуры), огурец свежий, соус ""Спайси"" (майонез массовая доля жира 67% (масло подсолнечное рафинированное дезодорированное, вода питьевая, сухой яичный меланж, сахар, соль пищевая, кислота уксусная пищевая 70%, масло эфирное горчичное), масло кунжутное рафинированное, соус соевый (вода питьевая, соевые бобы, пшеница, соль пищевая, сахар), перец красный молотый), водоросли нори сушеные), соевый соус (соевый соус (вода питьевая, соевые бобы, пшеница, соль пищевая, сахар), вода питьевая, сахар), корень имбиря маринованный (корень имбиря свежий, уксус рисовый (рисовый уксус 59% (вода питьевая, крупа рисовая), регулятор кислотности-кислота уксусная ледяная), соль пищевая, сахар), васаби (васаби порошок (порошок хрена васаби, горчичный порошок, краситель - хлорофиллы), вода питьевая)";https://vkusvill.ru/goods/roll-s-tuntsom-i-krevetkoy-s-sousom-spaysi-106906.html;
roll-nori-s-krevetkoy-99645.html;Ролл нори с креветкой;Готовая еда;172.1;;;;;345.0;vkusvill;;Состав                                                                                                                                                       роллы (крупа рисовая отварная (вода питьевая, крупа рисовая шлифованная, уксус рисовый (вода питьевая, рисовый уксус, регулятор кислотности - кислота уксусная, сахар, соль пищевая)), креветки очищенные отварные белоногие (Litopenaeus Vannamei) (продукция аквакультуры, произведено из мороженого сырья), соус спайси (майонез оливковый м;https://vkusvill.ru/goods/roll-nori-s-krevetkoy-99645.html;
omlet-s-brokkoli-sousom-pesto-i-zapechennoy-fetoy-107451.html;Омлет с брокколи, соусом песто и запеченной фетой;Готовая еда;154.23;;45.0;;;282.0;vkusvill;;"Состав                                                                                                                                                       Меланж яичный пастеризованный охлажденный жидкий (яйцо куриное), капуста брокколи, свежезамороженная (брокколи соцветия замороженные), сыр ""Фета"" массовая доля жира 45,0% (молоко нормализованное пастеризованное, закваска на основе молочнокислых термофильных и мезофильных бактерий, соль пищевая, уплотнитель-хлорид кальция, ферментный препарат животного происхождения), соус ""Песто"" (масло подсолнечное нерафинированное холодного отжима, базилик зеленый свежий, ядра ореха кешью, семена тыквы, масло оливковое нерафинированное высшего качества (Extra virgin olive oil), ядра кедровых орехов, соль морская пищевая, чеснок сушеный, регулятор кислотности - лимонная кислота), масло подсолнечное рафинированное дезодорированное вымороженное";https://vkusvill.ru/goods/omlet-s-brokkoli-sousom-pesto-i-zapechennoy-fetoy-107451.html;
spagetti-s-krevetkami-v-slivochnom-souse-s-tryufelnym-maslom-111838.html;Спагетти с креветками в сливочном соусе с трюфельным маслом;Готовая еда;237.9;;;;;398.0;vkusvill;;Состав                                                                                                                                                       спагетти отварные (вода питьевая, макаронные изделия из твердых сортов пшеницы группа А (мука из твердой пшеницы высшего сорта, вода питьевая), масло подсолнечное рафинированное дезодорированное, соль пищевая), сливочно-трюфельный соус с креветками (сливки питьевые стерилизованные м;https://vkusvill.ru/goods/spagetti-s-krevetkami-v-slivochnom-souse-s-tryufelnym-maslom-111838.html;
pirogi-pirozhki-i-lepyeshki;Пироги, пирожки и лепёшки;Готовая еда;;;;;;200.0;vkusvill;;;https://vkusvill.ru/goods/gotovaya-eda/pirogi-pirozhki-i-lepyeshki/?page=2&PAGEN_1=4;
pitstsa-pepperoni-salyami-okhlazhdennaya-74471.html;"Пицца ""Пепперони Салями"", охлажденная";Готовая еда;254.6;;;;;488.0;vkusvill;;проверен: нет консервантов, усилителей вкуса и антибиотиков                                                                                                                                                                                                                                                                                                                                                                              О товаре                                                                                                                                                                                                                                                                                                                                                            Отзывы                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                4;https://vkusvill.ru/goods/pitstsa-pepperoni-salyami-okhlazhdennaya-74471.html;
konvertiki-s-tvorogom-i-zelenyu-68839.html;Конвертики с творогом и зеленью;Готовая еда;294.3;;;;;238.0;vkusvill;;Состав                                                                                                                                                       лаваш (мука пшеничная хлебопекарная высшего сорта, вода питьевая, соль пищевая), творог м;https://vkusvill.ru/goods/konvertiki-s-tvorogom-i-zelenyu-68839.html;
golubtsy-lenivye-v-smetannom-souse-29522.html;Голубцы ленивые в сметанном соусе;Готовая еда;110.1;;82.5;;;238.0;vkusvill;;Состав                                                                                                                                                       Голубцы ленивые (мясо бедра куриного без кости, капуста белокачанная свежая, лук репчатый свежий, крупа рисовая шлифованная, вода питьевая, яйцо куриное пищевое, мука пшеничная хлебопекарная высшего сорта, масло подсолнечное рафинированное дезодорированное, масло сладкосливочное несоленое массовая доля жира 82,5%, соль пищевая, чеснок свежий, перец черный молотый),  соус сметанный (вода питьевая, сметана м;https://vkusvill.ru/goods/golubtsy-lenivye-v-smetannom-souse-29522.html;
vtorye-blyuda-s-ptitsey;Вторые блюда с птицей;Готовая еда;;;;;;200.0;vkusvill;;е только натуральные ингредиенты — подойдут даже для детского и диетического рациона;https://vkusvill.ru/goods/gotovaya-eda/vtorye-blyuda/vtorye-blyuda-s-ptitsey/?PAGEN_1=6;
lapsha-vegan-grechnevaya-soba-s-ovoshchami-i-sousom-teriyaki-kafe-72568.html;Лапша веган гречневая соба с овощами и соусом терияки, кафе;Готовая еда;158.1;;;;;250.0;vkusvill;;"Состав                                                                                                                                                       Лапша гречневая ""SOBA"" (мука пшеничная в/с, мука гречневая в/с, соль, вода), овощной микс (перец болгарский, кабачок, морковь, лук), фасоль стручковая с/м, соус терияки (соевый соус (вода, соевые бобы, пшеница, соль, сахар), чеснок, имбирь, красный молотый перец, сахар, соль пищевая, уксус), масло растительное подсолнечное рафинированное дезодорированное первый сорт, кунжут белый Продукция производится на предприятии, где используются аллергены: арахис, горчица, моллюски, ракообразные, рыба, молоко (лактоза), орехи, сельдерей, яйца";https://vkusvill.ru/goods/lapsha-vegan-grechnevaya-soba-s-ovoshchami-i-sousom-teriyaki-kafe-72568.html;
roll-nori-s-forelyu-i-ogurtsom-108704.html;Ролл нори с форелью и огурцом;Готовая еда;167.3;;;;;291.0;vkusvill;;Состав                                                                                                                                                       роллы (крупа рисовая отварная (вода питьевая, крупа рисовая шлифованная, уксус рисовый (вода питьевая, уксус рисовый, регулятор кислотности - кислота уксусная, сахар, соль пищевая)), филе форели радужной слабосоленое (форель радужная (продукция аквакультуры, произведено из мороженого сырья), соль пищевая), сыр творожный сливочный м;https://vkusvill.ru/goods/roll-nori-s-forelyu-i-ogurtsom-108704.html;
salat-s-rostbifom-kartofelem-bebi-i-kunzhutnym-sousom-110764.html;Салат с ростбифом, картофелем бэби и кунжутным соусом;Готовая еда;176.0;;;;;388.0;vkusvill;;Состав                                                                                                                                                       Картофель запеченный (картофель бэби свежий, масло подсолнечное рафинированное дезодорированное, соль пищевая, паприка молотая, перец чили молотый), соус (масло подсолнечное рафинированное дезодорированное, яблоки зеленые свежие, соус соевый (вода питьевая, соевые бобы, пшеница, соль пищевая, сахар), масло кунжутное нерафинированное, семена кунжута белые, чеснок свежий, уксус винный белый 6%), ростбиф (говядина, соевый соус (вода питьевая, соевые бобы, пшеница, соль пищевая, сахар), соль пищевая, перец черный молотый), огурцы маринованные (огурцы свежие, соль пищевая, сахар, регулятор кислотности – уксусная кислота ледяная, вода питьевая), томаты черри свежие, салат айсберг свежий, салат романо свежий, шпинат свежий, руккола свежая Продукция производится на предприятии, где используются аллергены: арахис, аспартам, горчица, диоксид серы (сульфиты), моллюски, ракообразные, рыба, молоко (лактоза), орехи, сельдерей, яйца;https://vkusvill.ru/goods/salat-s-rostbifom-kartofelem-bebi-i-kunzhutnym-sousom-110764.html;
novinki;Готовая еда: новинки;Готовая еда;;;;;;200.0;vkusvill;;е есть куриная грудка, которая придаёт бульону питательность и мясной акцент, а томатная паста делает вкус чуть ярче;https://vkusvill.ru/goods/gotovaya-eda/novinki/?page=2&PAGEN_1=3;
sup-svekolnik-18327.html;"Суп ""Свекольник""";Готовая еда;29.4;;;;;198.0;vkusvill;;е — картофель, огурцы, редис и зелень;https://vkusvill.ru/goods/sup-svekolnik-18327.html;
pirog-osetinskiy-s-kartofelem-i-syrom-500-g-22540.html;Пирог осетинский с картофелем и сыром, 500 г;Готовая еда;201.2;8.7;7.6;24.5;;384.0;vkusvill;;Состав                                                                                                                                                       ГУРМАН ООО: тесто (мука пшеничная хлебопекарная высшего сорта, вода питьевая, масло подсолнечное рафинированное дезодорированное, сахар, дрожжи хлебопекарные прессованые, соль пищевая), начинка (картофель отварной, сыр сулугуни м;https://vkusvill.ru/goods/pirog-osetinskiy-s-kartofelem-i-syrom-500-g-22540.html;
